content.update_time,#genre#
广东少儿,http://192.168.1.95:8080/hls/5040172127900933229.m3u8
广州综合,http://192.168.1.95:8080/hls/-6275386145682581059.m3u8
广州综合,http://192.168.1.95:8080/hls/8540848785146209081.m3u8
广州综合,http://192.168.1.95:8080/hls/-5729758745729241960.m3u8
广州综合,http://192.168.1.95:8080/hls/2207850665694269178.m3u8
广州新闻,http://192.168.1.95:8080/hls/-101496136186132962.m3u8
河源综合,http://192.168.1.95:8080/hls/4391995783440592973.m3u8
东莞新闻综合,http://192.168.1.95:8080/hls/317054834526618410.m3u8
东莞生活资讯,http://192.168.1.95:8080/hls/7589276594584897037.m3u8
番禺综合,http://192.168.1.95:8080/hls/-5748254347254816083.m3u8

浙江,#genre#
浙江钱江都市,http://192.168.1.95:8080/hls/1322531236781653636.m3u8
浙江钱江都市,http://192.168.1.95:8080/hls/-392592692919983049.m3u8
浙江经济生活,http://192.168.1.95:8080/hls/4313349642083034900.m3u8
浙江经济生活,http://192.168.1.95:8080/hls/-1474186427390215974.m3u8
浙江经济生活,http://192.168.1.95:8080/hls/6424053000570626814.m3u8
浙江经济生活,http://192.168.1.95:8080/hls/-7251785334648613220.m3u8
浙江教科影视,http://192.168.1.95:8080/hls/7000558574069936955.m3u8
浙江教科影视,http://192.168.1.95:8080/hls/5801824896284359639.m3u8
浙江教科影视,http://192.168.1.95:8080/hls/-3466620306345066342.m3u8
浙江教科影视,http://192.168.1.95:8080/hls/6587443875507485732.m3u8
浙江民生休闲,http://192.168.1.95:8080/hls/4980160527057389415.m3u8
浙江民生休闲,http://192.168.1.95:8080/hls/-1419370230765784450.m3u8
浙江民生休闲,http://192.168.1.95:8080/hls/5703307582926389556.m3u8
浙江新闻,http://192.168.1.95:8080/hls/-2384456724130255974.m3u8
浙江新闻,http://192.168.1.95:8080/hls/-6306648529892422916.m3u8
浙江新闻,http://192.168.1.95:8080/hls/111704951882346424.m3u8
浙江新闻,http://192.168.1.95:8080/hls/-3443916424843667009.m3u8
浙江新闻,http://192.168.1.95:8080/hls/7184075775778824615.m3u8
浙江新闻,http://192.168.1.95:8080/hls/3104272183136292683.m3u8
浙江少儿,http://192.168.1.95:8080/hls/2027400300027724384.m3u8
浙江少儿,http://192.168.1.95:8080/hls/2744468128707266933.m3u8
浙江少儿,http://192.168.1.95:8080/hls/-3128493485190965663.m3u8
浙江国际,http://192.168.1.95:8080/hls/-8680693369629468559.m3u8
浙江国际,http://192.168.1.95:8080/hls/6845788846676108223.m3u8
